source_id,lane,title,authority,url,accessed_at,claim_use,limitation
E11,primary-research,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,NeurIPS,https://papers.nips.cc/paper_files/paper/2023/hash/91f18a1287b398d378ef22505bf41832-Abstract-Datasets_and_Benchmarks.html,2026-08-12,"judge agreement and position; verbosity; self-enhancement biases","Study-specific results; does not authorize autonomous approval"
E12,primary-research,G-Eval: NLG Evaluation using GPT-4 with Better Human Alignment,ACL Anthology,https://aclanthology.org/2023.emnlp-main.153/,2026-08-12,"rubric-based LLM evaluation and correlation evidence","Reports bias toward LLM-generated text; human calibration remains necessary"
E13,official-tool,Demystifying Evals for AI Agents,Anthropic,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,2026-08-12,"agent harness; code/model/human graders; rubric calibration","Vendor engineering guidance; examples are not universal standards"
E14,official-tool,MLPerf Inference Documentation,MLCommons,https://docs.mlcommons.org/inference/,2026-08-12,"quality targets; latency constraints; scenarios and throughput","Benchmark rules do not equal a product workload"
E15,official-tool,MLPerf Inference Datacenter Benchmark,MLCommons,https://mlcommons.org/benchmarks/inference-datacenter/,2026-08-12,"latency and throughput scenario design","Datacenter benchmark; business success and agent trajectories are out of scope"
E16,official-tool,NVIDIA GenAI-Perf,NVIDIA,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/perf_benchmark/genai-perf-README.html,2026-08-12,"TTFT; inter-token latency; request latency; token and request throughput; length distributions","Vendor tool; hardware and workload configuration strongly affect results"
E17,official-protocol,Model Context Protocol tools specification,Model Context Protocol,https://modelcontextprotocol.io/specification/draft/server/tools,2026-08-12,"tool schema; tool naming; aggregator collision disambiguation","Draft/current version may change; recheck before implementation"
E18,official-protocol,Model Context Protocol roots specification,Model Context Protocol,https://modelcontextprotocol.io/specification/2025-03-26/client/roots,2026-08-12,"filesystem boundary negotiation","Roots are not a complete security boundary"
E19,official-tool,FastMCP testing documentation,FastMCP,https://gofastmcp.com/v2/development/tests,2026-08-12,"in-memory protocol tests and transport subprocess tests","Framework-specific adapter evidence"
E20,official-tool,FastMCP tools documentation,FastMCP,https://gofastmcp.com/servers/tools,2026-08-12,"duplicate tool handling; tags and visibility","Framework behavior must not be mistaken for MCP protocol law"
E21,official-tool,Playwright Test Agents,Microsoft Playwright,https://playwright.dev/docs/test-agents,2026-08-12,"planner; generator; healer workflow and regeneration boundary","Generated tests still require independent assertions and product evidence"
E22,official-tool,Playwright MCP browser automation,Microsoft Playwright,https://playwright.dev/python/docs/getting-started-mcp,2026-08-12,"MCP browser adapter and security boundary","Tool can execute code with user authority; it is not safe by default"
E23,official-tool,Cypress introduction and core concepts,Cypress,https://docs.cypress.io/app/core-concepts/introduction-to-cypress,2026-08-12,"command queue; retryability; actionability; asynchronous test model","Tool semantics; does not define the test strategy"
E24,primary-research,Can AI-Generated Text be Reliably Detected,Original authors,https://arxiv.org/abs/2303.11156,2026-08-12,"authorship detection limits; paraphrase attacks; false-positive and false-negative tradeoff","Does not prevent rubric-based content-quality review"
E25,primary-research,Datasheets for Datasets,Microsoft Research,https://www.microsoft.com/en-us/research/publication/datasheets-for-datasets/,2026-08-12,"dataset motivation; composition; collection; preprocessing; uses; maintenance","Documentation alone does not prove label correctness"
E26,primary-research,Model Cards for Model Reporting,Google Research,https://research.google/pubs/model-cards-for-model-reporting/,2026-08-12,"model intended use; evaluation conditions; groups and limitations","A reporting artifact; not a substitute for independent testing"
E27,primary-research,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,METR,https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/,2026-08-12,"randomized productivity study; observed 19 percent slowdown in its study population","16 developers and 246 tasks; early-2025 tools; cannot be generalized to all teams"
E28,primary-research,ChatUniTest: a ChatGPT-based automated unit test generation tool,Original authors,https://arxiv.org/abs/2305.04764,2026-08-12,"context construction and generation-validation-repair loop","Research prototype and selected projects; requires local replication"
E29,primary-research,TestPilot: test generation with large language models,Original authors,https://arxiv.org/abs/2302.06527,2026-08-12,"coverage results; model sensitivity; iterative feedback","Coverage does not prove correct assertions or defect detection"
E30,official-tool,Prompt engineering overview,Anthropic,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/overview,2026-08-12,"success criteria and empirical tests before prompt optimization","Vendor-specific examples; principles require cross-provider validation"
E31,official-tool,Prompt design strategies,Google AI for Developers,https://ai.google.dev/gemini-api/docs/prompting-strategies,2026-08-12,"clear instructions; examples; structure; iteration","Vendor-specific guidance"
E32,benchmark,Holistic Evaluation of Language Models,Stanford CRFM,https://crfm.stanford.edu/helm/index.html,2026-08-12,"scenario and metric transparency for horizontal evaluation","Repository announced maintenance mode from 2026-06-01; freshness risk"
E33,benchmark,OpenCompass documentation,OpenCompass,https://opencompass.readthedocs.io/en/stable/index.html,2026-08-12,"configure; inference; evaluation; visualization workflow","Framework results depend on dataset; prompt; model and harness versions"
E34,primary-research,C-Eval: A Multi-Level Multi-Discipline Chinese Evaluation Suite,Original authors,https://arxiv.org/abs/2305.08322,2026-08-12,"Chinese knowledge benchmark example","Public benchmark; contamination and enterprise transfer remain concerns"
E35,primary-research,GAIA: a benchmark for General AI Assistants,ICLR OpenReview,https://openreview.net/pdf?id=fibxvahvs3,2026-08-12,"assistant benchmark with reasoning; multimodality; browsing and tools","Public benchmark is not an enterprise acceptance suite"
E36,primary-research,CAIA Crypto AI Agent Benchmark,Original authors,https://arxiv.org/abs/2510.00332,2026-08-12,"evidence that CAIA is a domain-specific crypto-agent benchmark","Does not support calling CAIA a generic AI benchmark"
E37,official-platform,Feishu MCP introduction,Feishu Open Platform,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/mcp_integration/mcp_introduction?lang=zh-CN,2026-08-12,"collaboration platform MCP integration candidate","Does not resolve whether user meant Feishu or FastMCP"
E38,official-tool,LangGraph workflows and agents,LangChain,https://docs.langchain.com/oss/python/langgraph/workflows-agents,2026-08-12,"workflow-agent distinction and orchestration patterns","Framework-specific; not a universal agent architecture"
E39,official-platform,Microsoft Foundry generative AI evaluation,Microsoft,https://learn.microsoft.com/en-ie/azure/ai-foundry/how-to/evaluate-generative-ai-app?view=foundry,2026-08-12,"turn and conversation evaluation; traces; datasets","Platform-specific adapter evidence"
E40,local-evidence,Current tutorial-site full-fidelity package,Repository,outputs/test-development-ai-v2/tutorial/tutorial-site.json,2026-08-12,"85 public page titles; teaching blocks and evidence boundaries","Local fixture evidence only"
E41,local-evidence,Canonical course catalog manifest,Repository,outputs/test-development-ai-v2/research/course-catalog-manifest.json,2026-08-12,"117 canonical topics; aliases; delivery status and blocked content gates","Catalog entries are not proof of teachable or practitioner-complete content"
E42,local-evidence,Final editorial audit,Repository,outputs/test-development-ai-v2/research/editorial-review-2026-08-11-final.json,2026-08-12,"85 editorial PASS under current rubric; all boundary scores 100","Editorial rubric does not prove professional practice or live integration"
E43,user-expert-input,AI测试开发工程师能力模型与成长路径 v1.0,User-supplied local document,/Users/owen/Downloads/AI测试工程师发展.md,2026-08-12,"role scope; capability candidates; ML/CV/NLP/recommendation; data/model/robustness/fairness/explainability; MLOps; career discussion","SHA-256 d6df309516b91cb5c7e68ce2f69eb817c2bed7798f80ab9005627097dbc8416c; author and organization unknown; generic references lack locators; fixed weights tenure bands quotas and promotion thresholds are not authoritative"
E44,user-expert-input,AI Agent 测试架构方案 v2.0,User-supplied local document,/Users/owen/Downloads/AI agent测试架构.txt,2026-08-12,"D0-D7 architecture; evaluator trust; trajectory; multi-agent handoff; human takeover; reliability distribution; supply chain; four execution rings","SHA-256 b38274bcc1ba2d8c6e721157765f1b64ae70b0cbc9cc2cdd0a703140a69b2b54; author provenance unknown; many exact thresholds percentages legal dates and industry claims are unsupported or time-sensitive"
E45,primary-research,τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,ICLR 2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/1b126cc38b8638e07bef37e7b2bb72bf-Abstract-Conference.html,2026-08-12,"pass^k reliability concept for repeated agent task success; retail pass^8 below 25 percent in the reported benchmark","Benchmark- and harness-specific; pass^k is not pass@k and small repeated samples are not a universal release rule"
E46,primary-research,Claw-Eval: Toward Trustworthy Evaluation of Autonomous Agents,Original authors,https://arxiv.org/abs/2604.06132,2026-08-12,"trajectory-aware evaluation; 300 tasks and 14 models; output-opaque evaluation missed reported safety and robustness failures; Pass^3 and Pass@3 divergence under fault injection","Preprint benchmark results are bounded to its tasks harness and scorer; reported percentages are not universal defect rates"
E47,primary-research,MCPTox: A Benchmark for Tool Poisoning Attack on Real-World MCP Servers,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/40895,2026-08-12,"tool-description poisoning threat; 45 MCP servers and 353 tools in the benchmark; high observed ASR for some tested agents","Attack success is benchmark/model-specific; does not imply a universal MCP compromise rate"
E48,official-security,OWASP Top 10 for Agentic Applications 2026,OWASP GenAI Security Project,https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/,2026-08-12,"agentic threat taxonomy including goal hijack tool misuse identity/privilege abuse supply chain memory poisoning cascading failures and rogue agents","Risk taxonomy; not proof that a particular system is vulnerable and not an acceptance threshold"
E49,official-regulation,EU AI Act implementation timeline,European Commission AI Act Service Desk,https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline,2026-08-12,"phased application dates and current implementation timeline","Time-sensitive legal information; course must store jurisdiction statute version and checked_at and require legal review"
E50,official-regulation,Colorado AI information and current legislation,Colorado Attorney General,https://coag.gov/ai/,2026-08-12,"current state guidance and links for Colorado AI obligations","Time-sensitive and subject to amendment; older SB24-205 effective-date statements must not be copied as current law without recheck"
E51,official-practice,Agent lifecycle and continuous evaluation,Microsoft Learn,https://learn.microsoft.com/en-us/agents/center-of-excellence/agent-lifecycle,2026-08-12,"lifecycle monitoring and continuous evaluation as an engineering practice","Platform guidance; does not support universal incident-reduction percentages or mandatory 30-60 day degradation"
E52,research-guidance,LLM-as-a-Judge Limitations and Mitigations,LLM Guidelines,https://llm-guidelines.org/guidelines/report-limitations-and-mitigations/,2026-08-12,"judge reliability does not establish construct validity; document bias prompt sensitivity and limitations","Guidance synthesis; exact agreement thresholds still require target-domain calibration and human owner"
