page_id	type	depth_cjk	tables	judgement_table	counterexample	failure_diagnosis	reusable_artifact	learner_design	dup_rate	content_hash	manuscript_hash	projection_hash
TD-PS02	guided-lab	4515	9	True	True	True	True	True	0.0673	sha256:7b0e641bf34cd8a33fbbfa3ef4928bb1127c343ac4d52c3fa75f733c9194116f	sha256:1685a8fe4b2e5f47372ff911242be138783268517912979a20fd6feb8e716acb	sha256:9ce273aea1ba0f906a934d8d6d75859c130308557c8526102b365f2eb91a7c52
TD-PS03	diagnostic	4832	9	True	True	True	True	True	0.0648	sha256:04416bfea5b8dbfc33a41f1290e7e0c58ae28a441f35e9525f68128462f4e74c	sha256:8c1907f2db336a793a617c0e7b2c92cfa8daf6ee0c4c2c92549e92b69abc1423	sha256:4419fc0761c4069ef4e847d1226eb2fd7fceaff2b7279013cb5acb016045d8de
TD-PS04	guided-lab	4678	9	True	True	True	True	True	0.066	sha256:374f027ad4eb9e612f8eefb5f56664fa631252cd122b369bc595d0cc5c515299	sha256:ea1a16fbd31a5cc8a6e10cb7f428f1df5460681fdfe0401d0a70300b17ab2e6d	sha256:4c6dcccffd475a483641d6200d2dd1f2ec6f57fe97fe21f9c811fe23ae8346d5
TD-PS05	diagnostic	4873	9	True	True	True	True	True	0.066	sha256:c1eed00d1908b2840afb897199b29b903c1999969014321f6ea18f37f5203e3a	sha256:0fa89e200555b970dc64de253e3af89d525fc4349a04ced709412abefe2b6212	sha256:07894dfeed06705ccc4099531b8c3c7cffe177e01552d2885a0cccbce9bc67d3
TD-PS06	diagnostic	4799	9	True	True	True	True	True	0.0673	sha256:cb2e71be241b62f1c95593fb9e2b4b6324a132c3ee4a09e974ad5ab102f4647e	sha256:01cf7ac0ad668a3f6ef4271ee2797c21886353513585f396274bd8596b1cdf6c	sha256:9158eb320e86f24c5addce29aca4310a35161efec1810789c79fc53b470fea3c
TD-PS07	diagnostic	4699	9	True	True	True	True	True	0.0636	sha256:52f99bbd8e310850bffdadc7c07c6c6d3942faa1341b99840ecf3c1f56a5ddde	sha256:5bee3852ad63c8bf644da9d1703da71a2aa2e2166bce4767f669abbe9040e9da	sha256:d15877426ccf973b4ae04bad1b2faccfc9a7f98cf7451c42658516a237e03f3f
TD-PS08	diagnostic	4727	10	True	True	True	True	True	0.0648	sha256:1349d5e7f17c1726679d497ba5a5e7261bbcd9c9e7ce9676f247ac42da6a8b3a	sha256:64faed2698e3e1cdaa0e3d1192280a66d924f3e40c506764c2accf75314d743a	sha256:734765bca26b85294af760a32f4bfe067612beb25f3c6533d9fa0a03ef4e686a
TD-PS09	diagnostic	4352	9	True	True	True	True	True	0.066	sha256:ddb3f625a90323fc2f4bdba2766d15c047ffefc2c834a498f7c8c2e1199d035c	sha256:41b854e4aa7cd3c1e87f9f45f878bd90c81179de7d406534a065d781b819d8d1	sha256:484766a7b921420aaed4eb1b8e65a7cced20b95f41a04e23de4be9bcdfeab97a
TD-PS10	guided-lab	4630	9	True	True	True	True	True	0.066	sha256:5b7ba23cd83f1bebeb621cd31fc4522720edbb30ff712ad02d2d848505423a7f	sha256:b2bcf35690bc3eba83feb389931810190debbe8ca1a52058568859728490ea2b	sha256:14b0a9d60c60c3923570d3860481142438dfe968ccba5a2a60dc222e89e29d67
TD-PS11	concept	4518	9	True	True	True	True	True	0.0714	sha256:623e64c26e0e5a58d06929c45a01858da90297b8b0584188734e815c309d4928	sha256:4f04c018b6f021a536090c6a734f44eebced4de48758f8e578c927579ec3dc81	sha256:7429c233eac26f175b93c287cc2a9392a535c458cede6bb14e91edfe8db7bf52
TD-PS12	project	4933	10	True	True	True	True	True	0.0636	sha256:834a9d566b250c69744262035f86605fafe5cbf2478f88c739104034fb81482b	sha256:96911994c0d5f335158282cb1d08c36ca2733a7714449d98b9ee2ee3f5f83f73	sha256:291550dcbfbebe467c17d6e41278ea2804fc0ef595173f3421aae6cdc83795fe
TD-X101	project	4697	10	True	True	True	True	True	0.0256	sha256:7dbaff9bc2fb434ee4d18d545f72d1494816b2edb0f2a3f03882e941f9ca7fd8	sha256:3bc56cddae6f0409b1007f33c2c34ac3937e19a0ac0b3887435cb349bff0004e	sha256:00d746e5a38a5c58b97abad681eca28bc85c3d8f4581e55c239adcbfa18c728d
TD-FP01	guided-lab	3144	3	True	True	True	True	True	0.0824	sha256:bc4c52af3ac12cdbe3955a56c5ec0ab27f6e29f587c8bd7aad8fca3992c928d9	sha256:d95c000608e0d73dc25f4152c9b03e4e2fd2359c68c98172c48ba93f49b02642	sha256:7e19315c462ebf0da0d7592e68cd4f7997de7861ae076097a89078d69c6b0ba8
TD-F02	concept	4322	8	True	True	True	True	True	0.0777	sha256:aa20af70f0a0a91b3fe49570242c06fafb2d529f042c55b1c800711c3a5b6787	sha256:db9fc84cd0776868a8e20431f135ff67275c05c292dd3cb79d32b117ed941e05	sha256:7773a7fe0b256b7709031f6d926863a237ba038e26945bea995c706bdfc8d482
TD-F03	concept	4461	8	True	True	True	True	True	0.0696	sha256:e1004c6ec5d1f3c0a20e202b39e74c6276081deafc21538604a9215952c8e5f5	sha256:82b4508393dc28d137620ec0bfb5b0d20b132253d2d067b739e2673f4ed2354c	sha256:bc80a71320149a086fd8086263a0efeb665ae5371d1688fd99f9b9d65a86fe4c
TD-F04	concept	4309	8	True	True	True	True	True	0.0792	sha256:43b5390c6dc62799aef618c7ab73ca51bc7c77fbc6631bb58aa6ee42004f68dd	sha256:2c88b009fef1c7648ecb1c275f503f90ca7029cc76f778c151a90a0f7a18c24a	sha256:ae8fb7d8aa0a1231003de7f49499e2df7d9802c664321d8539da3b49e18b3be0
TD-T01	reference	3869	8	True	True	True	True	True	0.087	sha256:b7a59360c552c84ae4335ea4bd589aeee73eba1a7644a7887421df3054dd32ac	sha256:911e020b4b784084b18c27e75161f9bc3956afe4e115cc647d67cbceac6efc9a	sha256:e195ef60e9af424aed774373186e27b4873e9808490a6fd0c2a63bac4dd5dc4c
TD-T02	concept	3760	8	True	True	True	True	True	0.0851	sha256:746daeddf367adbb5331d5b476ef69b3634f3956f04c4d0ea5e694648f9411f9	sha256:79ec4aa6caf33c79d1b20e900923f772e0b7bc9addbeb7270ac5b56fc17625bd	sha256:76b4a5b4d4e5522f6dd0c3874e22a1a1088f31bf965c8e62e2d627c832c895bb
TD-T03	concept	3809	8	True	True	True	True	True	0.0851	sha256:02b614d893f7c88b06bdc47db56c4b5b9163447a8b69fdf6b254fda591e8f79e	sha256:f2e5216e4f79e17224d0f59c8b4c73aec2a04654f42c813aee666110bfec29ca	sha256:76b97874bcf0b7ddd79f07e38765248e3798c432262452307432236fab59348f
TD-T04	reference	3804	8	True	True	True	True	True	0.0784	sha256:9d79295bf0f84f8eff62ae2f9bbeb7f47d3319b09aa8ba9a6416e18b5f58175a	sha256:f38a65c4cd1b4bb16ab863c3acb05093bd084acd51b35e460e92e0774a08c97c	sha256:0c1c8dd364a2c7d5db8806890cb70e56604b96f209e86e89579c98b7ac5984a7
TD-T05	project	4390	9	True	True	True	True	True	0.0225	sha256:170d7e1901527501965c9bb1b5e761517a766e0b82e7fd95b591305aae1e3ad1	sha256:465a6fb280f3e05b066697248ace71ca103ade942d5562033d7d3174d35c2ea2	sha256:cb74b3f305978f010f981d2006c20f48c0b07ec9d6e356ecf418b6ddc1f4a97a
TD-T06	project	4092	9	True	True	True	True	True	0.0235	sha256:6346d1225c56d9ef0a15721569c9d76f75183db294e9b38e5c6b0a67ce82e932	sha256:9af1a3cb0e579981441ee44f678dd93797cf577a975e87dacddf86b545edcf56	sha256:d3589684c52a5a361a225f87dca2cea26443dc8a3e2e6981c4d6b614042efb8e
TD-T07	project	4408	9	True	True	True	True	True	0.0215	sha256:5d98204072b02b5e22757fa4082d0a825df337ae7632bdd499e76959a9a65361	sha256:c2321a14377432c1d7705368a45dab5b4cc6e27d803d731298b4d7cfc0184ad2	sha256:97db0a242a27455635c7a641157dbc94ebc81210dec3057cc9793426cb33885a
TD-T08	diagnostic	4286	9	True	True	True	True	True	0.0225	sha256:28831858edda0729137eefbac8e6f2af54a216704a66053e8ad3163bd372e53a	sha256:ff8c2165c4774b3fe5343632508bb7857e1e770d4ba578169a95fa35fc3d074b	sha256:caa544efeaedf1b436f527a808a42bd5922365c456221317918a613fc9b44bd0
TD-A01	concept	2543	4	True	True	True	True	True	0.0417	sha256:d37e74ea7d9dbd1b39e721abc461daa7120bc1dc742d2b6caf27eb021ff52190	sha256:db9401e88a2dd6850e4f1981074a2bda1dab12c3631da73d1496fb9c3168b690	sha256:59c74df06800370de250bff994bdf0370d654106550063b4917e0917e966fb53
TD-A02	guided-lab	2473	4	True	True	True	True	True	0.0469	sha256:7b77b26e1aefc3ad3a6ac1c556797bc7d5e49d92f5540079b7dc03b81b726087	sha256:86ba97c1ac66e3b8a625d085a740f3406301bdd0574c1fc69c1abffa2c4d252e	sha256:2c23eb3d5a14712cd8c454003067b7c0617e9aead732cbc0cfa456d51aafdc2d
TD-A03	guided-lab	2205	4	True	True	True	True	True	0.0423	sha256:d71f99d3bc29a7b9b81785f5440542da842887b86bb53f7de32626e87b921d7f	sha256:38c436bfc41b25f1590207593b7af73623e9bd8690679666218b8f369f34025c	sha256:2949f6a3acf5c2a29dbcb81c80569aeff77825069ce8f83c324613ea82d14dfd
TD-A04	guided-lab	2613	4	True	True	True	True	True	0.037	sha256:ff8b3b425bba107cad6b971891341ff51c35022e9fb96828166fcdc0198aa85a	sha256:1ae1e68402c50e530403096f9a0c0c2036f1ad0aff3baeab4e04da28122214bb	sha256:9836b38f67a1605b2865f1075a1a7cdb2f5e41e6a2466ef44851da4ff4fb3dfc
TD-A05	diagnostic	2192	4	True	True	True	True	True	0.0484	sha256:52849d2503b07957e746306ce4dad613c52d4a65a3e4d19d1c1cac92e1ceda0c	sha256:844ea013015a29a988dbeea3b61cba9d3335b92a500cae005d898b7e053b3b38	sha256:0188d47b793a4b54450626cbeb9900bb591af8e273e464355258a1d5837a00ee
TD-A06	diagnostic	2476	4	True	True	True	True	True	0.0462	sha256:43bfa6a2ddf2c30cf9c9d338078b78ae27f9af74cf78697f222801a52a24a918	sha256:723241945a92556b95efe773b5cb7c0f652add22764064852c8073e1addd6c7a	sha256:bc16ec9d18c891eb105db4a31ed296219e743fb7f3ed9edeaaa4f92f5784bb95
TD-T09	diagnostic	3833	8	True	True	True	True	True	0.0778	sha256:db1e699ce0a4ca0bf63cc24173fbed880142b2dfd5bcb7e17b11636ff1d76a8e	sha256:50cca82620eeec6926dc9160bea2dbd9e1bcfa622f45c7a85a357a036f721de7	sha256:fe0c8c046194439ce527fde08ca11a1547ff9b29441bd4cf62c9c2f47c56ea6b
TD-T10	diagnostic	3462	8	True	True	True	True	True	0.0737	sha256:45436c3802f0815fbe934a180c7fae421cfb0f8851a4f37a82e94c845696f6ca	sha256:9b806caacea1b592aa95bd82a912391fae94e9cc2261ebdba3ea1d8227497543	sha256:b70b3b1e6036307ea552cd3e687947a674f10c41e57bdcde951421b9b6a06ccc
TD-T11	diagnostic	3757	8	True	True	True	True	True	0.0795	sha256:db2ea256edc46f06626fc4bf30ca51583f1ceb5e841fe27919e502eb362da2c2	sha256:67cde6e98ab9a3005d3b92ce73f2063480c2567ae6f499928a941edde55d14f6	sha256:967f752187ef037bd17cbb71c6cfb0a7f5d6355970da20c1787bbfb505fc3e29
TD-T12	project	3754	8	True	True	True	True	True	0.0805	sha256:1eff6a31600163b29044e088f9ca47e9f5923dc54b1ebffeb940351f82627133	sha256:cdc8ea707256e334697772f22faff37c6dbec2c0813cdba1ba5cd7db4d9ca57d	sha256:99bf912779b9db43a6f275e301708ea5211708f7e62810ae7ff22e3066113ff2
TD-X501	project	4367	9	True	True	True	True	True	0.0467	sha256:5c8e5ec74fb6b9f628c147196079eea99b21204fb845570bfd2afe58981ba628	sha256:90f66592bd402f92c8d574980eb464d8892679486f7b1f0c0c4668f54b6cb13f	sha256:71591adbe99ca55235b55561390e36aaaac71dcbaea55e09583b36b97987eaa4
TD-X502	project	4343	9	True	True	True	True	True	0.0485	sha256:0b570d351581739637cc1b4c39693c8e27e4aea62d458bd4e32119334d0f39e3	sha256:13f6fba0214e9dd4679bf94fef559f1c9769102fc0ea90d10f5ea83d16edf686	sha256:20f7a066a5aa63e3240ac4b90d37429d6bfdc48fec24e42941be0d4fae15a4ca
TD-T13	guided-lab	3617	8	True	True	True	True	True	0.1628	sha256:236d65904c0b0924f7c12fa70030d020ebea18884eee6964c0ab011dcb05ab3d	sha256:4390b8f43ad5e4f0993efa0967222bed5d5e5b2774204d86a3d3fda29214fd55	sha256:eab05b26da6f3243ab71c38c735a6c89ebc6e42b396b5c481a9d08a12798e258
TD-T14	diagnostic	3615	8	True	True	True	True	True	0.1538	sha256:d000887287facfb536600ec31e6a259e21dc91657c3461e4811d64306d39ccbd	sha256:332d6460eca3600e47a8968a2e9465c47c9e0abfa5a92abc3e44b8779fa3bc7f	sha256:e5cdb885ebf0549d95a2d656aa4114b9360f2f7a6b1ecfbc55ac8b88bd3b48df
TD-T15	concept	3713	8	True	True	True	True	True	0.1505	sha256:e12a6a8fc7de5c8a997dbc30aac629b2a3f70a49b6afc19e3cdec03b511afcf3	sha256:7b1c5c08c9fa31c32ae9206927682437e41d053b119092f9c3a58e14447388a7	sha256:be2094433940955b4522bad5b62a8fd4df25d1bcb8d866bb434d0029980052fc
TD-T16	guided-lab	3744	8	True	True	True	True	True	0.1443	sha256:66e6c080aa039df50b08ec1ac920b69f57d24fa527ceaca79141f3f67325698a	sha256:44288cb71a3e70f3828ce8ae58906b2be0268600cd4bdd0ae3c2e92a2d0e1b2e	sha256:bdcc2af9acc9185b89a3a0174cb9c648d9be84f761bd290cfe442b4c7c908399
TD-T17	guided-lab	3895	8	True	True	True	True	True	0.1489	sha256:6bf0b609bab05930b45efc15f6ef05737c97b5efdfb948a7bd762f5aff4f27ed	sha256:04c94f1cefbcb83a515f992f5ff1adce8d981fe79f768207efb6446127a4596b	sha256:bbbe030e8732684f029c77166eb5c6feedd654a0b0a2c1eb002a7bee912ec74b
TD-T18	guided-lab	3631	8	True	True	True	True	True	0.1414	sha256:edd1fd3feb2689198a26ca6658251f5137b78deae99607ac1a01bcab0d4bb906	sha256:8ab92301387831bbff351fc392374562ae1acc19e32a097089db6ee9084da78b	sha256:79741185c68f62a485f10e2b4e52f7cdc35ead0da6180a1f9f99a6f117267af5
TD-T19	diagnostic	3664	8	True	True	True	True	True	0.1443	sha256:f1a903217582fb8bc8e99514ff6a36fd94c21ac2d9f767708446feb0498f7895	sha256:84b8dfbbb46f504512665dc9e92d308d563590b4318bf91e6c3221d9d91cdd03	sha256:90c75c654c25ea9d2d3fe92393572ae840d13d4f85f31751a9451c2c528a5d47
TD-W01	concept	3538	8	True	True	True	True	True	0.1591	sha256:ad42dbeafc447c8174d3efb9c9da3e7f9dc9603c42769441b791a6877bc3d862	sha256:45da1c58a114ffaf43483f2a5ab244f8cd7bb8163422788b2369385dcea3f9c0	sha256:649d41c9fa54912f0984ca5f0e6a3384fa69d25c70ebbb6d7e47ce8b2ce9108e
TD-W02	guided-lab	3605	8	True	True	True	True	True	0.1538	sha256:ee503f045638b145b447f549d35890f8a9dd5982252e5a07cc9baf8dc389612e	sha256:7a44127d439bd35dfb29f2249a0ddd3233ceb2f4f14240f1566c723ee3ae1209	sha256:9693c490bf6b05429971649b0c3b615158269f3d8776ba7f106fe26adbafb8c5
TD-W03	diagnostic	3593	8	True	True	True	True	True	0.1538	sha256:4fb64b826470635f5846846c9bf7b4abcc11c9b5298c66020cf4cde2b690d2d8	sha256:b3d5b0aabb3faf388c400270e7700db4893a2739d73f9ad20bb185550303537c	sha256:ffed7d74e164c17bb7e493ca345e0501b056ea8f4afe15ea74d4e33490491417
TD-X603	project	4344	9	True	True	True	True	True	0.0463	sha256:934b508e864930a0c9384f622297ef83e3ad664f8bee78eb866b05acec2d1117	sha256:946bd14a6349102eabe5215449915b67bcc17b7069c55aa29f3e03034ee0c57c	sha256:4b63286917cf436d211e9e9620a331e06debc05db08e6d052d7e8f185f88fbd1
TD-X604	project	4188	9	True	True	True	True	True	0.0472	sha256:ad3d134af4dc75fa3935f5d082bb62335cae4b7a51e1b88cddc8a0363df7fe54	sha256:7d59a8191efa8368082c2e99864cb8301b5a970cb29b3e40c5bb184a3992deae	sha256:f7de0b98248b1eec53127cc36a6585428846efe36fdb537fa1c18975f671f662
TD-X602	project	4189	9	True	True	True	True	True	0.0505	sha256:e150f93f917f3ba41508074e21d14e0b662135010746d47bc42f9259f86d5b77	sha256:73f7e5c4e26190f1fa6795b824982b83d1219eba4be781c0ec3473fa5729ab07	sha256:b4f6db69c351df3e3521104b55ca05ffcb71a2fb09d78b6cb1d86f57dae4351e
TD-X601	project	4471	9	True	True	True	True	True	0.0442	sha256:82bdba80d56b2f315d3cdfec2a980db56d64cb4e33b1569e4c347db2e5bf56d7	sha256:c30cd02e51096a6223be22da51560bb81884bdded5b27c238583a83002aa5081	sha256:932c7f7232b6c65975c63a407e97b88290d15d7837e5f5454b173a89898b6cba
TD-T20	project	3641	8	True	True	True	True	True	0.1413	sha256:95f2dfdb3957ffe854e8f82e3bc8d74d622bd5bf16d49d385b39a753d9ae9d82	sha256:bd13adb4f1d4c7e045de707694f60adeac14dc435e48f9adda78c69d818906b9	sha256:b392b7d4c311cede368c7313de648dcc8085faf3554bd35117e54b4a768ee5a2
TD-T21	reference	3576	8	True	True	True	True	True	0.1413	sha256:86caac87ba64911d768aa6c040d115615be3ccde4cc73ad182fa2fc2751345d2	sha256:e02cdaa455faeeb115216cf4ff8a7f680c4f835e19256d37efd9260dea305713	sha256:67e6d52857fc74875b188a015ae7c29aef4b421e08d8e8fdcbb5236acc51118e
TD-T22	project	3811	8	True	True	True	True	True	0.1477	sha256:912d813f706245d207b60b5f9d1ee2e32fc013cdeb2c1cef1195308a266e1b90	sha256:702a0a4c971eae6678949464e805997784c6e3834e898c79d45c925615082cff	sha256:15a34cf2c147e56c9561c2061ceaa049a3e15af58691ee0771c7f970099aabca
TD-T23	reference	3730	8	True	True	True	True	True	0.1368	sha256:41c60006616cd47044ad9c31b0d7483b4f7c2beadcc44972adcfafcd3ab2b260	sha256:a421040ec38340beef20e0758e2954653cc1f2e87a71e93989c746d5a2f0ed65	sha256:88620b47c298074574dd3674ea2a148ff8a335b026c0048a8c2f6378685dcea1
TD-T24	diagnostic	3779	8	True	True	True	True	True	0.1368	sha256:72bbb156595882677592ba7de049cd5d6d9ad047d43e2a0a22240098133bdb63	sha256:ddb837bf93f83aecabb79b1fcfe1999cb5412b31dbe03f483d0e13b9911fe918	sha256:9ae157dfb634d0b2ba251cd125ea357949854febdd12425e59255ea1846fcbac
TD-X805	project	4224	9	True	True	True	True	True	0.0467	sha256:f969f7e9691e54a269864350da4202bf03bce04b66f6bfaa6e39a20f3eacfbdc	sha256:cd8400d41608346f5de55d8590f6c5db83715280dd913f92b84f55520e1467f9	sha256:6b6cd52f029b79a83c3dea1e9bc85f75e89c170957099612a34c2268ee68b0c0
TD-B01	concept	4038	8	True	True	True	True	True	0.1444	sha256:94d456b8c0d9de5772b77afdf504fe950c1f9fc0ce85b8fda237a2c1daa6f3ba	sha256:67fd992b6e267387d62a63c301d0f0b84e88003377f71604c4c37e8b4661abd3	sha256:b99889538c34ca765b9c0739a7a85ee6f5491c35df8d02246eac6a866dc543e1
TD-B02	project	3785	8	True	True	True	True	True	0.1327	sha256:2a29832b810c7e5e5de2e6821c4d21e6ed58add218d6be64487a6f66de47c859	sha256:41ebc0d9060db6357debd35fea58466a6d245a6154739310741a304adf9eb9f7	sha256:4bc7a255521a72e8b4cefe0733e720eacfcc3cdd69fcc9635b6ad0c9fc981106
TD-B03	project	3691	8	True	True	True	True	True	0.1368	sha256:42929d9c1377b1d5ba5aa2308b91410d891b026bfdf6d06243c987cbf337c42f	sha256:eb2cd7ebd6e4ce873263b91376411fb5fcc58c9d57ca2f9de9427f205d82f716	sha256:97ff1c3f6d3e42952e9696bddd6fb87bad1ed46b06b7130af884f65655096722
TD-B04	diagnostic	3838	8	True	True	True	True	True	0.1477	sha256:6c8aae96e35adb4bf30535e5caf1bc32acb287e76e035b8fd00a7e02723b34a3	sha256:78e788b9303d7625680d4be3053f25bc213ad452496f3ac70601af90c789adee	sha256:5cf10f18a06f3af717c26fa9a56a832024e1cbaeb97590f1f6e96ab09f542aee
TD-B05	diagnostic	3831	8	True	True	True	True	True	0.1444	sha256:a85338159a5cce5cd0820380b3cc5f2ada1bb06b4c6b5db2b97497101ffbfe2f	sha256:8b187be0d4039c804e676b2637f8d40832643b57c71c924c179a94befcd073d3	sha256:03598b047d5238873689e178914435b024e6bb095f7de8c0360702f0ca30b392
TD-B06	project	3905	8	True	True	True	True	True	0.1398	sha256:24c1836c60eab2df04e0bc397866ed4784dd1a4f49fb77038c52e2e3f191ff25	sha256:35b9797ba3fd42d822d7b5dd88a30911a9600e2ed3e9a327581fc7dc71fd13b7	sha256:f6fa873eacda1300cc9b0e7132a8828861b9f02ccdc9e40aa1485183b7e252f6
TD-QP01	guided-lab	2843	6	True	True	True	True	True	0.0	sha256:00cf9c6e34b66670ada930995c82605c21d2b5a5c6c93a807eb039b6c55293eb	sha256:b4bf3e90cf584dd098bc5acc8ee00a9ac3e5296382f6431b6b6dc8eb62937146	sha256:150449ab3e996ef950612c6036f5bacf1a8aa6b81a24cc02f039d0c7148d92f7
TD-QP02	guided-lab	2540	6	True	True	True	True	True	0.0	sha256:2e795d3ca12b00fcfad8be2ab2f6be47e5235a4acb65f1bc920e1a10f1f663ef	sha256:23041067a8a44023354f24146e4fc1914fb0de60181c85d7c25948a4092bc0bb	sha256:ac2df16e0b8ebcb98ff9185ef0093bde3dcc2b4646058613b88621abca47cff1
TD-QP03	guided-lab	2560	6	True	True	True	True	True	0.0	sha256:fc98e6052e61c0a1d46b29c1e97967005e826383e49a2490b516eb27466df85e	sha256:48180eddfee7d50c689fa4d418702661b66e75fcb108b7ab32e1cb3261c7b6ad	sha256:00e84ea62808ed3093b0f70ea21d1d8826ca050bc4af1dfd5f477ed810017dad
TD-QP04	project	2942	6	True	True	True	True	True	0.0	sha256:3f5db714d0ed2703f6f622899dcbf53082467cae8d7ee75124bd6b66ffb99cf1	sha256:66ed1ff9d75adc2198dc7d3e3c001ccbafdf6b5c789d8bf8ee669921828a009e	sha256:0b2b3bd07ed529902c6a1a57100eab604b11a65c19dc711a558ab46788ccd3e8
TD-T25	project	2297	4	True	True	True	True	True	0.0	sha256:65fbd75834e5079658d4f43f7f89ba449c31a45ed3fad73e27758addb824d443	sha256:dca32643325c501ab8de40244ed8378193d30d5d799e0ecadfc2d22d57d87cdb	sha256:b24bd54c55dc5f7f3b134ed1d674fa6eecb258ae39b62e09116db7aad9105ed9
TD-C01	project	2682	4	True	True	True	True	True	0.0	sha256:2900f482405228499792c49cc2a7e50f1e2c22d56d015198477ccb5b6dff84b5	sha256:a28072f0c2e245cb733d4aada1266bc132095d68111252d8d408063bc3ad4033	sha256:37d7536867436c27a75ecfd73679fead8de27b30e7daa6f3d95ba9999b3474be
TD-C02	concept	2710	4	True	True	True	True	True	0.061	sha256:6d658339f652708e32e2962497a9e14518ab80a036e24ee6000958fc9e186bd9	sha256:922ac2e5afdfbb780fb852ae0fc62a3652e99ec016eff3989134d1b2b5e31157	sha256:4ce1b4a543c5deb9c6eb9ecc2db87d995beafa9d3c9e89efb0a38862dec3be50
TD-C03	guided-lab	2568	4	True	True	True	True	True	0.0694	sha256:d598e3fb6d23d14665e057f963e4c32a3d85de875ac51809d2f149ceaede9242	sha256:44f6ef14499d0bd8d5f8977ea092fdfe09b22ac636df2ed2a2f445a7a05ff440	sha256:2ed966d7d166263beb6a87f27db468dbea455bc9f6530aa7cf53f2c5cb2e876a
TD-C04	reference	2358	4	True	True	True	True	True	0.0633	sha256:5d234aee8cfc42869dda2def569530f4779d0e9ad47b3a80fee3a0964727597e	sha256:aaaf4bd4adf91ca356879e00ff96a70118daa53ecd870697ce4f99214a851d52	sha256:327e22068139760a95798db2f0e6b6fa6767aa0f0411bbc497d30482a9b595a1
