artifact_id,source_id,repo_url,commit_or_tag,license,last_commit_at,release_or_commit_url,issues_url,ci_url,setup_command,smoke_command,run_status,run_at,exit_code,evidence_path,selected_for_lab,limitations
GH20,S118,https://github.com/langchain-ai/langgraph,1.2.11,MIT,2026-08-14T03:07:56Z,https://github.com/langchain-ai/langgraph/releases/tag/1.2.11,https://github.com/langchain-ai/langgraph/issues,https://github.com/langchain-ai/langgraph/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,结构清晰不等于行为正确。节点内部仍由模型驱动，同一条边上的两次执行可能走出完全不同的结果。
GH21,S119,https://github.com/liquibase/liquibase,v5.0.3,NOASSERTION,2026-08-14T05:41:57Z,https://github.com/liquibase/liquibase/releases/tag/v5.0.3,https://github.com/liquibase/liquibase/issues,https://github.com/liquibase/liquibase/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,声明了 rollback 不等于回滚可用。带数据回填的变更往往无法无损回滚，必须实际演练。
GH22,S120,https://github.com/run-llama/llama_index,v0.14.23,MIT,2026-08-13T18:07:47Z,https://github.com/run-llama/llama_index/releases/tag/v0.14.23,https://github.com/run-llama/llama_index/issues,https://github.com/run-llama/llama_index/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,框架提供组件，不提供语料治理。切分策略与元数据设计仍是决定检索质量的主要因素，且高度依赖你的文档形态。
GH23,S121,https://github.com/protectai/llm-guard,v0.3.16,MIT,2026-07-08T23:58:40Z,https://github.com/protectai/llm-guard/releases/tag/v0.3.16,https://github.com/protectai/llm-guard/issues,https://github.com/protectai/llm-guard/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,过滤层本身有漏判与误判，两类错误率都必须单独度量。把它当成「加了就安全」是把一个概率组件当成了确定性边界。
GH24,S122,https://github.com/locustio/locust,2.46.3,MIT,2026-08-10T14:07:35Z,https://github.com/locustio/locust/releases/tag/2.46.3,https://github.com/locustio/locust/issues,https://github.com/locustio/locust/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,脚本表达的是你以为的用户行为。流量画像与真实生产分布不符时，压测结论无效。
GH25,S123,https://github.com/mobile-dev-inc/Maestro,cli-2.8.0,Apache-2.0,2026-08-13T20:08:37Z,https://github.com/mobile-dev-inc/Maestro/releases/tag/cli-2.8.0,https://github.com/mobile-dev-inc/Maestro/issues,https://github.com/mobile-dev-inc/Maestro/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,内建等待处理的是渲染与动画时序，不处理业务异步。设备矩阵、权限弹窗、系统版本差异仍需真机验证。
GH26,S124,https://github.com/modelcontextprotocol/modelcontextprotocol,2026-07-28,NOASSERTION,2026-08-12T15:57:45Z,https://github.com/modelcontextprotocol/modelcontextprotocol/releases/tag/2026-07-28,https://github.com/modelcontextprotocol/modelcontextprotocol/issues,https://github.com/modelcontextprotocol/modelcontextprotocol/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,规范描述接口不描述权限。哪些工具允许被哪个会话调用、不可逆动作要不要二次确认，规范里没有，必须在工具调用层自己实现并验证。
GH27,S125,https://github.com/mlflow/mlflow,v3.15.1,Apache-2.0,2026-08-14T05:52:13Z,https://github.com/mlflow/mlflow/releases/tag/v3.15.1,https://github.com/mlflow/mlflow/issues,https://github.com/mlflow/mlflow/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,登记的是元数据不是质量。记录齐全的模型同样可以是差模型。
GH28,S126,https://github.com/boxed/mutmut,3.7.0,BSD-3-Clause,2026-08-09T15:46:58Z,https://github.com/boxed/mutmut/releases/tag/3.7.0,https://github.com/boxed/mutmut/issues,https://github.com/boxed/mutmut/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,执行成本随用例数与变异体数相乘增长，全量跑通常不现实，必须按变更范围裁剪，因此结论是局部的。
GH29,S127,https://github.com/OAI/OpenAPI-Specification,3.2.0,Apache-2.0,2026-08-13T22:49:43Z,https://github.com/OAI/OpenAPI-Specification/releases/tag/3.2.0,https://github.com/OAI/OpenAPI-Specification/issues,https://github.com/OAI/OpenAPI-Specification/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,不描述业务不变量，也不描述副作用。规范里没有任何位置能写「退款金额不得超过实付」或「重复提交只能扣一次款」——这是四层断言里第三、四层必须由人补的根本原因。
GH30,S128,https://github.com/open-compass/opencompass,0.5.3,Apache-2.0,2026-08-12T14:00:16Z,https://github.com/open-compass/opencompass/releases/tag/0.5.3,https://github.com/open-compass/opencompass/issues,https://github.com/open-compass/opencompass/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,中文基准同样存在污染与分布偏移问题；配置可复现不等于结论可迁移。
GH31,S129,https://github.com/open-feature/spec,v0.9.0,Apache-2.0,2026-08-13T23:16:22Z,https://github.com/open-feature/spec/releases/tag/v0.9.0,https://github.com/open-feature/spec/issues,https://github.com/open-feature/spec/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,能关掉不等于关掉之后业务可接受。降级形态仍需单独定义与验证。
GH32,S130,https://github.com/google/osv-scanner,v2.5.0,Apache-2.0,2026-08-14T05:27:21Z,https://github.com/google/osv-scanner/releases/tag/v2.5.0,https://github.com/google/osv-scanner/issues,https://github.com/google/osv-scanner/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,报出漏洞不等于可利用。是否触达受影响代码路径需要单独判断，否则门禁会被噪声淹没而被整体关掉。
GH33,S131,https://github.com/open-telemetry/semantic-conventions,v1.44.0,Apache-2.0,2026-08-12T18:00:08Z,https://github.com/open-telemetry/semantic-conventions/releases/tag/v1.44.0,https://github.com/open-telemetry/semantic-conventions/issues,https://github.com/open-telemetry/semantic-conventions/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,GenAI 部分的约定仍在演进，字段名可能变更；且约定只规定怎么记，不规定记了之后如何判断质量。
GH34,S132,https://github.com/open-telemetry/opentelemetry-specification,v1.60.0,Apache-2.0,2026-08-14T00:37:14Z,https://github.com/open-telemetry/opentelemetry-specification/releases/tag/v1.60.0,https://github.com/open-telemetry/opentelemetry-specification/issues,https://github.com/open-telemetry/opentelemetry-specification/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,接入 OTel 不等于可归因。采样率、缺失的 span 属性、断掉的上下文传播都会让链路在最需要的时候断在中间。
GH35,S133,https://github.com/OWASP/ASVS,latest,CC-BY-SA-4.0,2026-08-13T01:24:29Z,https://github.com/OWASP/ASVS/releases/tag/latest,https://github.com/OWASP/ASVS/issues,https://github.com/OWASP/ASVS/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,标准是需求清单不是测试方法。每条如何验证、用什么证据，仍需自己设计。
GH36,S134,https://github.com/pact-foundation/pact-python,pact-python-ffi/0.5.4.1,MIT,2026-08-13T16:35:25Z,https://github.com/pact-foundation/pact-python/releases/tag/pact-python-ffi/0.5.4.1,https://github.com/pact-foundation/pact-python/issues,https://github.com/pact-foundation/pact-python/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,只覆盖消费方声明过的交互。没人写进 pact 的字段，提供方删掉也不会红。它证明的是兼容性，不是正确性。
GH37,S135,https://github.com/Arize-ai/phoenix,arize-phoenix-v20.2.0,NOASSERTION,2026-08-13T20:46:38Z,https://github.com/Arize-ai/phoenix/releases/tag/arize-phoenix-v20.2.0,https://github.com/Arize-ai/phoenix/issues,https://github.com/Arize-ai/phoenix/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,许可证未被自动判定，按仅链接处理；平台记录能力不等于判断能力，评测器的可信度仍需单独证明。
GH38,S136,https://github.com/hcoles/pitest,1.25.9,Apache-2.0,2026-08-07T16:44:17Z,https://github.com/hcoles/pitest/releases/tag/1.25.9,https://github.com/hcoles/pitest/issues,https://github.com/hcoles/pitest/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,变异算子覆盖的是语法层面的常见错误，覆盖不到业务逻辑错误；等价变异体（语义未变）会造成无法消除的存活率下限。
GH39,S137,https://github.com/microsoft/playwright,v1.62.1,Apache-2.0,2026-08-13T22:03:51Z,https://github.com/microsoft/playwright/releases/tag/v1.62.1,https://github.com/microsoft/playwright/issues,https://github.com/microsoft/playwright/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,自动等待解决的是元素可交互，不是业务就绪。页面上按钮能点了不代表后台事务已提交；UI 全绿仍需副作用层佐证。
GH40,S138,https://github.com/microsoft/playwright-mcp,v0.0.79,Apache-2.0,2026-08-12T20:16:20Z,https://github.com/microsoft/playwright-mcp/releases/tag/v0.0.79,https://github.com/microsoft/playwright-mcp/issues,https://github.com/microsoft/playwright-mcp/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,模型能操作浏览器不等于它能判断对错。断言仍必须由确定性 oracle 提供；把模型的「看起来成功了」当结论，就是本模块 TD-PS04 反例表的第一行。
GH41,S139,https://github.com/App-vNext/Polly,8.7.0,BSD-3-Clause,2026-08-14T03:59:45Z,https://github.com/App-vNext/Polly/releases/tag/8.7.0,https://github.com/App-vNext/Polly/issues,https://github.com/App-vNext/Polly/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,客户端弹性无法修复服务端容量不足。重试预算不受控时，弹性库会加剧而非缓解故障。
GH42,S140,https://github.com/prometheus/prometheus,v3.13.2,Apache-2.0,2026-08-13T17:13:55Z,https://github.com/prometheus/prometheus/releases/tag/v3.13.2,https://github.com/prometheus/prometheus/issues,https://github.com/prometheus/prometheus/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,指标是聚合信号，无法回答单次失败发生了什么。归因必须回到 trace 与日志。
GH43,S141,https://github.com/promptfoo/promptfoo,0.122.0,MIT,2026-08-14T05:13:22Z,https://github.com/promptfoo/promptfoo/releases/tag/0.122.0,https://github.com/promptfoo/promptfoo/issues,https://github.com/promptfoo/promptfoo/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,模型评判本身有误差，需要与人工标注校准后才能作为门禁判据。
GH44,S142,https://github.com/vibrantlabsai/ragas,v0.4.3,Apache-2.0,2026-02-24T07:47:19Z,https://github.com/vibrantlabsai/ragas/releases/tag/v0.4.3,https://github.com/vibrantlabsai/ragas/issues,https://github.com/vibrantlabsai/ragas/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,多数指标本身由模型计算，因此指标带有与被测系统同源的误差；未经人工标注校准前，它的绝对值不能当验收线，只能看趋势。
GH45,S143,https://github.com/resilience4j/resilience4j,v2.4.0,Apache-2.0,2026-07-08T06:46:06Z,https://github.com/resilience4j/resilience4j/releases/tag/v2.4.0,https://github.com/resilience4j/resilience4j/issues,https://github.com/resilience4j/resilience4j/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,配置了熔断不等于降级路径正确。熔断打开后返回什么、业务是否可接受，必须单独验证。
GH46,S144,https://github.com/schemathesis/schemathesis,v4.24.3,MIT,2026-08-14T04:25:06Z,https://github.com/schemathesis/schemathesis/releases/tag/v4.24.3,https://github.com/schemathesis/schemathesis/issues,https://github.com/schemathesis/schemathesis/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,它的判据全部来自 Schema，因此对「格式合法但业务错误」完全无能为力。金额为负、状态非法转换、退款超过实付都能通过它的全部检查。把 Schemathesis 全绿当成接口测试完成，正是本模块反复拆解的那个陷阱。
GH47,S145,https://github.com/semgrep/semgrep,v1.173.0,LGPL-2.1,2026-08-14T00:16:01Z,https://github.com/semgrep/semgrep/releases/tag/v1.173.0,https://github.com/semgrep/semgrep/issues,https://github.com/semgrep/semgrep/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,模式匹配没有完整数据流理解，跨文件跨函数的污点传播会漏。低误报是靠限制规则范围换来的。
GH48,S146,https://github.com/sgl-project/sglang,v0.5.17,Apache-2.0,2026-08-14T05:57:59Z,https://github.com/sgl-project/sglang/releases/tag/v0.5.17,https://github.com/sgl-project/sglang/issues,https://github.com/sgl-project/sglang/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,缓存收益高度依赖真实流量的前缀分布，实验室里构造的高命中率不可外推到生产。
GH49,S147,https://github.com/slsa-framework/slsa,v2021-04-21,NOASSERTION,2026-08-09T11:32:43Z,https://github.com/slsa-framework/slsa/releases/tag/v2021-04-21,https://github.com/slsa-framework/slsa/issues,https://github.com/slsa-framework/slsa/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,等级描述构建过程的可信度，不评价依赖本身是否有漏洞。
GH50,S148,https://github.com/stryker-mutator/stryker-js,v9.6.1,Apache-2.0,2026-08-13T22:48:07Z,https://github.com/stryker-mutator/stryker-js/releases/tag/v9.6.1,https://github.com/stryker-mutator/stryker-js/issues,https://github.com/stryker-mutator/stryker-js/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,分数受等价变异体污染，绝对值不可跨项目比较，只能与自己的历史比。
GH51,S149,https://github.com/anchore/syft,v1.51.0,Apache-2.0,2026-08-13T20:46:58Z,https://github.com/anchore/syft/releases/tag/v1.51.0,https://github.com/anchore/syft/issues,https://github.com/anchore/syft/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,SBOM 描述成分不描述风险，也不保证完整——静态链接、厂商私有层与运行时下载的内容可能不在清单里。
GH52,S150,https://github.com/testcontainers/testcontainers-python,testcontainers-v4.15.0,Apache-2.0,2026-07-31T08:45:21Z,https://github.com/testcontainers/testcontainers-python/releases/tag/testcontainers-v4.15.0,https://github.com/testcontainers/testcontainers-python/issues,https://github.com/testcontainers/testcontainers-python/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,容器里的数据库不等于生产数据库。版本、扩展、参数、数据量与并发都不同，性能与锁行为结论不能外推。
GH53,S151,https://github.com/huggingface/text-generation-inference,v3.3.7,Apache-2.0,2026-03-21T11:34:22Z,https://github.com/huggingface/text-generation-inference/releases/tag/v3.3.7,https://github.com/huggingface/text-generation-inference/issues,https://github.com/huggingface/text-generation-inference/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,参考实现的默认值不是你的配置；限流与排队策略差异会让同样的硬件产出完全不同的容量曲线。
GH54,S152,https://github.com/Shopify/toxiproxy,v2.12.0,MIT,2026-08-04T07:02:30Z,https://github.com/Shopify/toxiproxy/releases/tag/v2.12.0,https://github.com/Shopify/toxiproxy/issues,https://github.com/Shopify/toxiproxy/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,注入的是网络层症状，不是依赖服务的真实故障语义（如半提交、脏数据）。
GH55,S153,https://github.com/triton-inference-server/server,v2.71.0,BSD-3-Clause,2026-08-14T01:24:04Z,https://github.com/triton-inference-server/server/releases/tag/v2.71.0,https://github.com/triton-inference-server/server/issues,https://github.com/triton-inference-server/server/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,指标口径依赖具体后端；不同 backend 的批处理与队列语义不同，跨部署比较数字没有意义。
GH56,S154,https://github.com/aquasecurity/trivy,v0.73.0,Apache-2.0,2026-08-13T18:55:17Z,https://github.com/aquasecurity/trivy/releases/tag/v0.73.0,https://github.com/aquasecurity/trivy/issues,https://github.com/aquasecurity/trivy/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,覆盖广度以深度为代价；每一类的判定精度都不如该领域的专用工具。
GH57,S155,https://github.com/truera/trulens,trulens-2.12.0,MIT,2026-08-13T17:02:46Z,https://github.com/truera/trulens/releases/tag/trulens-2.12.0,https://github.com/truera/trulens/issues,https://github.com/truera/trulens/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,反馈函数由模型实现，误差与被测模型可能相关；三角分解定位问题层，不给出修复方案。
GH58,S156,https://github.com/loft-sh/vcluster,v0.36.1,Apache-2.0,2026-08-12T22:31:09Z,https://github.com/loft-sh/vcluster/releases/tag/v0.36.1,https://github.com/loft-sh/vcluster/issues,https://github.com/loft-sh/vcluster/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,虚拟集群共享底层节点，性能与资源竞争结论不可外推到生产；外部依赖仍需打桩或共享。
GH59,S157,https://github.com/vllm-project/vllm,v0.27.1,Apache-2.0,2026-08-14T05:31:12Z,https://github.com/vllm-project/vllm/releases/tag/v0.27.1,https://github.com/vllm-project/vllm/issues,https://github.com/vllm-project/vllm/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,引擎指标反映的是服务端状态，不等于用户体感；托管 API 通常不暴露这些指标，此时只能从客户端阶段指标推断并标记未知。
GH60,S158,https://github.com/wiremock/wiremock,3.13.2,Apache-2.0,2026-08-14T04:03:09Z,https://github.com/wiremock/wiremock/releases/tag/3.13.2,https://github.com/wiremock/wiremock/issues,https://github.com/wiremock/wiremock/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,桩的行为是你编的。真实依赖的失败形态可能与你的假设完全不同——桩测试通过不代表真实降级路径有效。
GH61,S159,https://github.com/zaproxy/zaproxy,v2.17.0,Apache-2.0,2026-08-13T08:21:53Z,https://github.com/zaproxy/zaproxy/releases/tag/v2.17.0,https://github.com/zaproxy/zaproxy/issues,https://github.com/zaproxy/zaproxy/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,扫描器擅长已知模式（注入、配置、头缺失），对业务逻辑漏洞几乎无能为力。越权、跨租户数据泄露必须靠带身份的用例设计。
GH62,S26,https://github.com/browser-use/browser-use,0.13.7,MIT,2026-08-13T19:28:15Z,https://github.com/browser-use/browser-use/releases/tag/0.13.7,https://github.com/browser-use/browser-use/issues,https://github.com/browser-use/browser-use/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,能完成任务不等于能判断任务完成。演示成功率与你自己页面上的成功率无关，且版本迭代很快，行为不稳定。
GH63,S36,https://github.com/EleutherAI/lm-evaluation-harness,v0.4.12,MIT,2026-08-11T08:24:39Z,https://github.com/EleutherAI/lm-evaluation-harness/releases/tag/v0.4.12,https://github.com/EleutherAI/lm-evaluation-harness/issues,https://github.com/EleutherAI/lm-evaluation-harness/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,它保证的是执行可复现，不保证任务本身衡量了你关心的能力，也不检测数据污染。
GH64,S38,https://github.com/SWE-bench/SWE-bench,v4.1.0,MIT,2026-08-14T00:50:12Z,https://github.com/SWE-bench/SWE-bench/releases/tag/v4.1.0,https://github.com/SWE-bench/SWE-bench/issues,https://github.com/SWE-bench/SWE-bench/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,任务来自公开仓库，训练数据污染无法排除；单次成功率也不代表在你私有代码库上的表现。执行成本高，不适合做每次提交的门禁。
GH65,S93,https://github.com/appium/appium,appium@3.6.0,Apache-2.0,2026-08-14T03:11:06Z,https://github.com/appium/appium/releases/tag/appium%403.6.0,https://github.com/appium/appium/issues,https://github.com/appium/appium/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,跨平台的是客户端 API，不是行为。同一段脚本在两个平台上的等待、权限与手势语义都不同，必须分别验证。
GH66,S94,https://github.com/argoproj/argo-rollouts,v1.9.1,Apache-2.0,2026-08-14T00:42:39Z,https://github.com/argoproj/argo-rollouts/releases/tag/v1.9.1,https://github.com/argoproj/argo-rollouts/issues,https://github.com/argoproj/argo-rollouts/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,分析指标是你写的。指标覆盖不到的质量退化，金丝雀会一路放行到 100%。
GH67,S95,https://github.com/asyncapi/spec,v3.1.0,Apache-2.0,2026-08-11T17:58:42Z,https://github.com/asyncapi/spec/releases/tag/v3.1.0,https://github.com/asyncapi/spec/issues,https://github.com/asyncapi/spec/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,不描述投递语义。至少一次、最多一次、乱序、重复、死信这些真正让事件测试变难的性质，规范里没有，必须自己设计场景验证。
