source_catalog,source_id,source_title,canonical_ids,relation,source_delivery_status,source_evidence_maturity,coverage_decision,notes
topic-system-105,TD-406,多轮与长上下文,TD-406,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-407,LLM-as-Judge 校准,TD-407,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-408,非确定性与统计结论,TD-408,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-501,知识库数据质量,TD-501,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-502,检索召回,TD-502,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-503,重排与上下文选择,TD-503,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-504,回答忠实性与引用,TD-504,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-505,无答案与冲突知识,TD-505,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-506,多租户与权限过滤,TD-506,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-507,RAG 性能与成本,TD-507,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-508,RAG 回归与线上反馈,TD-508,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-601,Agent 测试分层,TD-601,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-602,工具选择与参数,TD-602,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-603,权限与副作用,TD-603,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-604,状态与并发隔离,TD-604,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-605,循环、重试与终止,TD-605,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-606,Handoff 与多 Agent,TD-606,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-607,Human-in-the-loop,TD-607,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-608,Agent 安全,TD-608,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-609,Browser/Computer-use Agent,TD-609,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-610,Agent 回归与 Benchmark,TD-610,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-701,AI API 协议特点,TD-701,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-702,TTFT、ITL/TPOT 与 E2E,TD-702,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-703,Token 与请求吞吐,TD-703,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-704,Prefill、Decode、Batch 与 KV Cache,TD-704,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-705,工作负载建模,TD-705,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-706,LLM Serving 压测工具,TD-706,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-707,容量、Goodput 与成本,TD-707,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-708,限流、超时、重试和降级,TD-708,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-AP01,为什么 Agent 压测不是 API 压测,TD-AP01,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-AP02,Agent 指标体系,TD-AP02,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-AP03,Agent 负载模型与数据集,TD-AP03,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-AP04,Trace 与可观测数据结构,TD-AP04,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-AP05,压测系统架构与工具选型,TD-AP05,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-AP06,Agent 压测 SOP,TD-AP06,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-AP07,诊断队列、重试与成本放大,TD-AP07,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-AP08,线上 SLO、告警与稳定性 Runbook,TD-AP08,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-901,AI 威胁建模,TD-901,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-902,Prompt Injection,TD-902,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-903,数据泄露与隐私,TD-903,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-904,Excessive Agency,TD-904,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-905,多租户隔离,TD-905,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-906,供应链与模型依赖,TD-906,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-907,安全评测与红队,TD-907,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-908,混沌、降级与灾备,TD-908,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1001,从业务风险到 Eval Task,TD-1001,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1002,数据采样与代表性,TD-1002,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1003,标注与冲突处理,TD-1003,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1004,Dev、Regression 与 Holdout,TD-1004,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1005,Scorer 与聚合,TD-1005,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1006,不确定性与显著性,TD-1006,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1007,污染与泄漏,TD-1007,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1008,Harness 与协议敏感性,TD-1008,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1009,公共 Benchmark 解读,TD-1009,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1010,企业内部 Benchmark,TD-1010,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1101,AI 版本与 Lineage,TD-1101,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1102,Eval 接入 CI/CD,TD-1102,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1103,质量—延迟—成本联合门禁,TD-1103,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1104,AI Trace 与生产反馈,TD-1104,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1105,在线质量监控与漂移,TD-1105,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1106,告警、Waiver 与回滚,TD-1106,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1107,评测平台数据模型,TD-1107,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1108,质量治理与审计,TD-1108,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1201,AI 辅助测试项目,TD-1201,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1202,RAG 质量项目,TD-1202,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1203,Agent 质量项目,TD-1203,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1204,AI 质量平台项目,TD-1204,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-1205,岗位能力与作品集,TD-1205,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
gap-audit-12,TD-X101,静态测试、架构、代码与依赖质量,TD-X101,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X102,数据库、数据管道与迁移质量,TD-X102,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X103,Web 兼容、可访问性与本地化质量,TD-X103,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X104,Android 质量工程,TD-X104,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X105,iOS 质量工程,TD-X105,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X501,多模态 AI 评测,TD-X501,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X502,多语言、可访问性与包容性 AI 评测,TD-X502,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X601,公平性、伤害与人类监督有效性,TD-X601,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X602,训练、Fine-tuning 与模型更新质量,TD-X602,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X603,长期 Memory、个性化与语义缓存质量,TD-X603,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X604,模型路由、Provider Fallback 与工具协议漂移,TD-X604,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
gap-audit-12,TD-X805,在线实验、Canary 与人工抽样评审,TD-X805,canonical-gap,gap,unmeasured,add-gap-and-research,not complete; evidence and split decision required
curriculum-46,TD-BASE-01,传统研发测试流程与 AI 变化点,TD-000;TD-002,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-02,测试设计、Oracle 与 Mutation 入场考核,TD-103,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-03,自动化工具链、Trace、CI 与发布基线,TD-105;TD-106;TD-107,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-FOUND-01,大模型从数据、训练到推理和监控,TD-201,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-FOUND-02,Token、Attention、Context 与概率生成,TD-202;TD-203,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-FOUND-03,Embedding、RAG、Tool call 与 Agent loop,TD-205;TD-206;TD-207;TD-208;TD-209,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-FOUND-04,大模型能力边界与 AI 测试对象,TD-001;TD-210,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-01,用 AI 从 PRD/代码 Diff 建立风险模型,TD-301;TD-302,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-02,AI 生成自动化测试，但必须证明它会失败,TD-303;TD-305;TD-306;TD-307,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-03,用 AI 读 Trace/Log/Diff 做失败归因,TD-309,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-04,AI 生成属性、边界和 Fuzz 数据,TD-304,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-EVAL-01,Eval 数据集、Dataset card、切片与 Holdout,TD-1001;TD-1002;TD-1003;TD-1004,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-EVAL-02,Scorer、Rubric、LLM Judge 与人工校准,TD-402;TD-407;TD-1003;TD-1005,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-05,LLM 评测基础：黄金集、Rubric 与阈值,TD-401;TD-402;TD-403;TD-404;TD-407;TD-408,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,td-ai-006-rag-eval-ci,RAG 分层评测：检索、回答、引用与忠实性,TD-501;TD-502;TD-503;TD-504;TD-505;TD-506;TD-507;TD-508,split-alias,fixture-tested,fixture-tested,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-07,Prompt/模型/知识库 A/B 与版本回归,TD-405;TD-508,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-09,LLM/RAG/Agent 安全红队,TD-404;TD-608;TD-901;TD-902;TD-903;TD-904;TD-907,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-10,多模态 AI 的文档与截图评测,TD-X501,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-08,Agent 评测：最终结果、单步与轨迹,TD-601;TD-602;TD-604;TD-605,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-11,Playwright Planner/Generator/Healer,TD-308;TD-609,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-12,Browser/API Agent 沙箱、工具与权限,TD-603;TD-608;TD-609,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-13,自愈测试的反作弊门禁,TD-308;TD-305,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-14,Worker Workflow 与多 Agent 测试流水线,TD-606;TD-607;TD-610,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-15,评测集、Prompt、模型与工具版本管理,TD-1101,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-16,把 AI 评测接进 CI/CD,TD-1102;TD-1103,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-17,Trace、线上反馈与回归集闭环,TD-1104;TD-1105,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-18,质量、成本、延迟与稳定性联合评估,TD-1103;TD-707,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-19,漂移、告警、Waiver、回滚与事故演练,TD-1105;TD-1106,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BENCH-01,Benchmark 数据如何构造：任务、样本、标注与 Holdout,TD-1001;TD-1002;TD-1003;TD-1004,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BENCH-02,Benchmark 分数如何产生：Harness、Prompt、Scorer 与聚合,TD-1005;TD-1008,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BENCH-03,Benchmark 可信度：置信区间、方差、污染与可比性,TD-1006;TD-1007,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BENCH-04,从公开榜单到企业内部 Benchmark,TD-1009;TD-1010,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-04,需求文档解析、可测试性与双向追踪,TD-101;TD-301,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-05,风险策略、测试层级与发布完成标准,TD-102;TD-107,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-06,测试数据、环境、依赖隔离与可重放,TD-104,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-07,API、契约、集成与事件驱动测试,TD-105;TD-306,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-08,UI、兼容性、可访问性与用户旅程,TD-X103;TD-X104;TD-X105,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-09,性能、负载、容量、长稳与成本,TD-702;TD-703;TD-705;TD-707,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-BASE-10,可靠性、安全、可观测性、灾备与混沌,TD-901;TD-908;TD-1104;TD-1106,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-21,AI 接口服务：Streaming、结构化输出、工具与异步合同,TD-701,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-22,AI 性能指标：TTFT、TPOT、ITL、Goodput 与成本,TD-702;TD-703;TD-707,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-23,AI 压测、容量拐点与瓶颈诊断,TD-704;TD-705;TD-706;TD-707,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-24,AI 服务稳定性：限流、超时、重试、Fallback 与降级,TD-708;TD-908,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-25,AI Serving 可观测性：Trace、Queue、GPU 与 KV Cache,TD-704;TD-1104;TD-1105,split-alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-26,测试职业演进：从执行者到 AI Quality Engineer,TD-1205,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
curriculum-46,TD-AI-20,AI QE 平台 Capstone,TD-1204,alias,planned,unmeasured,migrate-without-promotion,legacy contract preserved as alias
site-107,TD-F01,先重建测试开发这份工作，再判断 AI 应该改哪里,TD-000;TD-002,split-or-merge-alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-P01,先冻结测试依据：别让 AI 读一堆互相打架的文档,TD-101;TD-301,split-or-merge-alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-P02,把自然语言变成需求契约：让下游程序能直接消费,TD-301,alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-P03,解析技术文档：把组件、接口、状态与失败恢复变成可测试契约,TD-101;TD-301,split-or-merge-alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-P04,从需求契约到风险策略：决定测什么、在哪一层测,TD-102,alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-P05,生成测试之前先固定 Oracle：否则 AI 只会生成自洽答案,TD-103;TD-402,split-or-merge-alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-P06,把测试包接到自动化：接口、契约、集成和 UI 各自负责什么,TD-105;TD-305;TD-306;TD-307,split-or-merge-alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-P07,执行、收集、归因：一次绿色结果需要哪些证据,TD-106;TD-309,split-or-merge-alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-P08,变更回归与发布判断：把整条证据链串起来,TD-107;TD-108;TD-310,split-or-merge-alias,fixture-tested,fixture-tested,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS01,API 业务契约：从 HTTP 结果到可验证副作用,TD-306;TD-701,split-or-merge-alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS02,OpenAPI Schema 与属性测试：让坏请求和破坏性变更变红,TD-306,alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS03,契约、事件与鉴权：测试跨服务边界的真实兼容性,TD-306;TD-602;TD-603,split-or-merge-alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS04,Web UI 关键旅程：隔离、定位器、网络控制与跨浏览器,TD-307;TD-X103,split-or-merge-alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS05,Web UI 兼容性、无障碍与视觉回归,TD-X103,alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS06,Android 自动化：生命周期、同步、权限与设备矩阵,TD-X104,alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS07,iOS 自动化：可访问性标识、权限、签名与状态残留,TD-X105,alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS08,数据与迁移：Schema 演进、回填、CDC 与回滚对账,TD-X102,alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS09,性能与容量：到达率、尾延迟、Goodput 与单位成功成本,TD-702;TD-703;TD-707,split-or-merge-alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS10,稳定性：超时、重试预算、熔断、限流与降级,TD-708;TD-908,split-or-merge-alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS11,线上可观测性：把 AI 质量、Trace、成本和 SLO 接成一条链,TD-1104;TD-1105,split-or-merge-alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
site-107,TD-PS12,安全测试：身份、授权、输入、秘密与跨租户副作用,TD-1106,alias,desk-researched,desk-researched,rebuild-under-canonical-topic,currently in 103-page public projection; public visibility is not a completion gate
